ID,REGION,OFFRE,OFFRE_CAT,HANDSET,STATUT,ANC_M,MNT_RECH_TOT,MNT_RECH_MOY,DUREE_APPEL_TOT,NB_SMS_TOT,MNT_FORFAIT_DATA_TOT,NB_FORFAIT_DATA_TOT,REVENU_CDR_TOT,TARGET_IA,SCORE_APPETENCE,SEGMENT_MARKETING,ACTION_RECOMMANDEE
C47482037,Medenine,PRE - TT 1000%,Bonus 1000%,4G,A,132,126.0,10.5,851.61,3.99,7.0,4,5.96,1,0.74995834,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C01092725,Ariana,PRE - TT 1000%,Bonus 1000%,3G,A,115,311.0,28.272727272727277,2780.41,5.33,4.15,8,23.85,1,0.74979717,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C11816217,Sfax,PRE - Trankil TT,Bonus,2G,A,23,1260.0,105.0,3041.55,90.98,255.1,304,333.58000000000004,1,0.7497772,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C0457_458,Beja,PRE - TT 1500%,Bonus 1500%,2G,A,260,122.0,10.166666666666666,330.69,21.0,39.0,22,6.23,1,0.7497389,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C7868_681,Kairouan,PRE - TT 1500%,Bonus 1500%,2G,A,233,189.0,15.75,954.88,0.0,48.0,40,45.48,1,0.74952847,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C04166016,Beja,PRE - Trankil TT,Bonus,4G,A,28,89.0,9.88888888888889,895.08,18.34,0.0,0,6.17,0,0.749492,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C9618_424,Kef,PRE - TT 1500%,Bonus 1500%,2G,A,247,387.0,32.25,1818.07,4.0,266.35,119,21.77,1,0.7492279,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C79094363,Mannouba,PRE - 1=11,Standard,2G,A,78,372.0,31.0,1309.0,49.0,122.4,43,80.6,1,0.74920523,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C34974558,Kasserine,PRE - 1=11,Standard,2G,A,67,537.0,44.75,2569.86,77.34,302.45,65,75.67,1,0.7490442,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C9806_651,Beja,PRE - Oulidha 1000%,Bonus 1000%,2G,A,266,425.0,35.416666666666664,1456.68,1.33,206.4,75,50.4,1,0.7488948,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C5360_525,Siliana,PRE - TT 1500%,Bonus 1500%,2G,A,261,167.0,13.916666666666666,406.19,0.33,94.95,104,19.8,1,0.7488928,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C16634552,Kef,PRE - 1=11,Standard,2G,A,68,700.0,58.333333333333336,2957.4700000000003,58.65,22.35,15,26.71,1,0.7488693,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C49804711,Kasserine,PRE - TT 300%,Bonus 300%,4G,A,62,181.0,15.083333333333334,1865.45,189.67,46.3,76,4.6,1,0.7487931,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C03095621,Kasserine,PRE - TM 35mil/min,Standard,5G,A,37,100.0,10.0,762.41,14.33,19.75,14,9.46,1,0.74873984,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C01986082,Tunis,PRE - Trankil TT,Bonus,4G,A,26,475.0,39.583333333333336,4490.21,0.33,51.8,14,73.59,1,0.7486901,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C80232245,Sousse,PRE - Trankil TT,Bonus,4G,A,130,71.0,5.916666666666667,427.19,3.67,1.45,2,19.83,1,0.7485342,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C75923480,Nabeul,PRE - TM 35mil/min,Standard,2G,A,96,360.4,36.04,1136.06,77.0,10.0,10,102.59,1,0.74844867,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C51604334,Kairouan,PRE - 1=11,Standard,2G,A,71,269.0,22.416666666666668,705.58,6.99,8.0,8,13.77,1,0.7484109,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C09163321,Mannouba,PRE - 1=11,Standard,3G,A,97,118.0,9.833333333333334,531.1899999999999,16.66,23.9,20,7.65,1,0.7483623,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C38686541,Sidi Bouzid,PRE - Trankil TT,Bonus,2G,A,10,787.0,71.54545454545455,2848.73,94.34,119.25,34,214.74,1,0.7482648,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C1637_475,Sousse,PRE - TT 1500%,Bonus 1500%,2G,A,257,352.0,29.33333333333333,2537.41,6.67,220.8,60,33.17,1,0.7482461,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C22984528,Sfax,PRE - 1=11,Standard,2G,A,70,82.0,8.2,245.28,59.66,6.0,1,23.79,1,0.7482251,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C11501350,Kasserine,PRE - 900 bonus,Bonus 900%,2G,A,163,396.0,33.0,1364.16,170.66,88.4,69,84.38,1,0.7481685,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C05702103,Beja,PRE - Oulidha 2000%,Bonus 2000%,4G,A,134,262.0,21.83333333333333,2345.03,70.33,155.0,41,34.46,1,0.748029,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C27946200,Sidi Bouzid,PRE - Trankil TT,Bonus,2G,A,23,64.0,5.818181818181818,316.49,11.68,21.0,21,16.64,1,0.7480119,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C2306_486,Mahdia,PRE - Binetna,Standard,5G,A,261,379.0,31.58333333333333,4184.37,22.66,56.8,56,12.86,1,0.7480106,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C79543578,Kairouan,PRE - 1=11,Standard,2G,A,86,182.0,15.166666666666666,595.71,17.66,58.9,49,10.15,1,0.7479952,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C8865_727,Kef,PRE - TT 1500%,Bonus 1500%,3G,A,223,253.0,21.08333333333333,1711.38,3.67,1.0,1,83.75,1,0.7479681,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C1539_270,Mahdia,PRE - TT 1500%,Bonus 1500%,2G,A,243,88.0,7.333333333333333,336.26,26.32,6.35,8,23.65,1,0.7479039,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C56375717,Bizerte,PRE - Trankil TT,Bonus,2G,A,35,58.0,4.833333333333333,343.44,8.33,1.0,1,18.41,1,0.74764377,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C73576709,Kef,PRE - Trankil TT,Bonus,4G,A,3,70.0,17.5,737.09,20.0,20.85,39,5.380000000000001,1,0.7475856,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C76853045,Kasserine,PRE - 1=11,Standard,2G,A,106,138.0,12.545454545454543,314.57,31.99,62.35,26,8.46,1,0.7475846,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C86306667,Sfax,100% Bonus_TT,Ad-On,4G,A,5,137.0,22.83333333333333,1751.97,7.67,43.25,39,1.77,1,0.7475556,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C79014256,Kasserine,PRE - Trankil TT,Bonus,2G,A,77,371.0,33.72727272727273,2936.17,20.66,90.45,25,9.7,1,0.74754775,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C8019_333,Sidi Bouzid,PRE - 900 bonus,Bonus 900%,2G,A,232,278.0,23.166666666666668,1036.71,2.66,262.0,40,10.43,1,0.74740684,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C28554110,Kairouan,PRE - EST 1000% New,Bonus 1000%,4G,A,73,131.0,10.916666666666666,745.66,60.66,10.4,15,7.19,1,0.74727404,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C99386107,Sousse,PRE - Trankil TT,Bonus,2G,A,25,90.0,7.5,453.39,5.99,10.0,5,26.64,1,0.74724287,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C88312363,Sidi Bouzid,PRE - E.M. 1000%,Bonus 1000%,2G,A,122,424.0,35.333333333333336,1542.06,10.99,138.8,104,87.15,1,0.7472366,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
C7284_558,Sidi Bouzid,PRE - TT 1500%,Bonus 1500%,4G,A,264,189.0,15.75,1488.1,1.99,16.9,8,4.98,1,0.74719536,⚡ Cible Potentielle,Pack Combo Voix+Data — offre essai 1 mois
