ID,REGION,OFFRE,OFFRE_CAT,HANDSET,STATUT,ANC_M,MNT_RECH_TOT,MNT_RECH_MOY,DUREE_APPEL_TOT,NB_SMS_TOT,MNT_FORFAIT_DATA_TOT,NB_FORFAIT_DATA_TOT,REVENU_CDR_TOT,TARGET_IA,SCORE_APPETENCE,SEGMENT_MARKETING,ACTION_RECOMMANDEE
C78356469,Mahdia,PRE - Trankil TT,Bonus,4G,A,14,326.0,40.75,63.96,24.68,292.05,274,4.82,1,0.98941225,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C45756539,Tunis,PRE - Trankil TT,Bonus,4G,A,11,605.0,67.22222222222223,49.2,2.33,170.04999999999998,206,3.15,1,0.98910296,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C20726538,Kasserine,PRE - Trankil TT,Bonus,4G,A,11,857.0,95.22222222222224,182.61,17.0,787.54,93,20.65,1,0.9884035,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C45186616,Beja,PRE - Trankil TT,Bonus,4G,A,7,312.0,39.0,101.4,14.66,189.92,135,9.02,1,0.9875371,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C03806511,Sidi Bouzid,PRE - Trankil TT,Bonus,4G,A,12,266.0,29.55555555555556,60.89,6.33,272.35,81,7.399999999999999,1,0.9873312,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C37566355,Bizerte,PRE - Trankil TT,Bonus,5G,A,18,320.0,29.09090909090909,15.21,20.66,228.6,17,1.59,1,0.9873148,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C55246319,Sidi Bouzid,PRE - Trankil TT,Bonus,4G,A,20,466.0,66.57142857142857,61.77,3.67,287.0,5,5.140000000000001,1,0.9867274,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C38016645,Mahdia,Hayya,Standard,4G,A,6,107.0,15.285714285714286,24.6,4.66,58.0,36,1.34,1,0.9866436,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C50166492,Ariana,PRE - Trankil TT,Bonus,4G,A,12,346.0,38.44444444444444,77.09,20.33,700.35,39,10.42,1,0.9862623,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C40696394,Gabes,Aziza mobile 35Mil,Standard,4G,A,16,220.0,24.444444444444443,41.12,13.66,59.1,49,3.17,1,0.98622304,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C98915827,Ben Arous,PRE - Trankil TT,Bonus,4G,A,32,877.0,79.72727272727273,68.88,27.0,440.15,20,16.51,1,0.9859688,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C10746342,Kairouan,Aziza mobile 35Mil,Standard,4G,A,19,259.0,23.545454545454547,64.82000000000001,4.65,114.6,58,5.8,1,0.985808,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C99096642,Sidi Bouzid,PRE - Trankil TT,Bonus,4G,A,6,219.0,43.8,108.78,2.33,200.0,99,4.37,1,0.98566043,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C74906585,Kairouan,100% Bonus_TM,Ad-On,4G,A,8,382.0,42.44444444444444,34.48,16.33,256.4,103,3.39,1,0.9854092,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C98396614,Zaghouan,PRE - TM 35mil/min,Standard,4G,A,7,526.0,65.75,46.78,6.67,207.5,109,8.99,1,0.985341,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C48706676,Sfax,PRE - Trankil TT,Bonus,4G,A,4,89.0,17.8,19.18,3.0,79.25,76,1.51,1,0.9852961,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
C19696446,Sfax,PRE - Trankil TT,Bonus,4G,A,15,731.0,73.1,162.35,21.67,391.25,126,22.49,1,0.9852224,🎯 Cible Prioritaire,Offre Forfait DATA Illimité — contact SMS/App prioritaire
