ID,ID_REGION,ID_OFFRE,STATUT,STATUT_RGS90,ANC_M,ANC_J,CANAL_DE_VENTE,HANDSET,OFFRE_CAT,DESC_DISTRIBUTEUR,SCORE_APPETENCE
C2363_614,340,34,A,A,266,8117,,4G,Bonus,,0.15392509
C8668_614,340,34,A,A,267,8138,,4G,Bonus,,0.15392509
C2051_717,350,34,A,A,274,8344,,4G,Bonus,,0.15392509
C2553_574,340,34,S,A,271,8274,,2G,Bonus,,0.15392509
C8105_623,320,34,A,A,269,8194,,4G,Bonus,,0.15276715
C6112_726,320,34,A,A,279,8497,,4G,Bonus,,0.15276715
C9348_626,180,34,A,A,299,9112,,4G,Bonus,,0.15224567
C1336_680,200,34,A,A,298,9097,,4G,Bonus,,0.15224567
C0262_641,200,34,A,A,298,9076,,2G,Bonus,,0.15224567
C9710_638,200,34,A,A,298,9074,,4G,Bonus,,0.15224567
C0573_614,280,34,A,A,297,9059,,4G,Bonus,,0.15125482
C5197_620,220,34,A,A,297,9048,,4G,Bonus,,0.15125482
C1981_604,220,34,A,A,299,9101,,4G,Bonus,,0.15125482
C7655_640,140,34,A,A,299,9130,,4G,Bonus,,0.1502063
C6506_599,140,34,A,A,299,9123,,4G,Bonus,,0.1502063
C2991_619,340,201,A,A,299,9115,,4G,Standard,,0.15004022
C9148_611,350,201,A,A,299,9108,,4G,Standard,,0.15004022
C9378_628,320,201,A,A,311,9496,,5G,Standard,,0.14890635
C5012_705,320,115,A,A,299,9130,,4G,Standard,,0.14890635
C1628_463,340,34,A,A,261,7967,,4G,Bonus,,0.14802772
C5003_527,350,34,A,A,260,7931,,4G,Bonus,,0.14802772
C5088_664,190,34,A,A,268,8168,,4G,Bonus,,0.14752053
C5703_664,190,34,A,A,276,8404,,4G,Bonus,,0.14752053
C4831_548,160,34,A,A,274,8343,,4G,Bonus,,0.14752053
C0761_618,160,34,A,A,273,8339,,4G,Bonus,,0.14752053
C8616_532,160,34,A,A,265,8084,,4G,Bonus,,0.14752053
C0455_617,180,34,A,A,263,8005,,5G,Bonus,,0.14752053
C1874_623,160,34,A,A,267,8136,,5G,Bonus,,0.14752053
C8124_568,160,34,A,A,272,8293,,4G,Bonus,,0.14752053
C6599_630,170,34,A,A,267,8138,,5G,Bonus,,0.14752053
C2823_657,210,34,A,A,280,8529,,2G,Bonus,,0.14752053
C7335_613,190,34,A,A,273,8337,,2G,Bonus,,0.14752053
C3949_563,210,34,A,A,274,8369,,2G,Bonus,,0.14752053
C9353_648,210,34,A,A,265,8083,,4G,Bonus,,0.14752053
C6608_686,190,34,A,A,276,8405,,4G,Bonus,,0.14752053
C7465_640,201,34,A,A,279,8521,,4G,Bonus,,0.14752053
C2274_625,180,34,A,A,266,8115,,4G,Bonus,,0.14752053
C2733_476,170,34,A,A,262,7994,,4G,Bonus,,0.14752053
C1984_630,201,34,A,A,267,8155,,2G,Bonus,,0.14752053
C4587_654,360,246,A,A,299,9130,,4G,Bonus 1000%,,0.14672044
C9886_629,360,239,A,A,298,9087,,2G,Bonus 900%,,0.14672044
C9668_598,330,239,A,A,299,9119,,4G,Bonus 900%,,0.14672044
C1930_632,340,246,A,A,311,9496,,5G,Bonus 1000%,,0.14672044
C6911_631,350,246,A,A,299,9130,,2G,Bonus 1000%,,0.14672044
C9368_629,340,246,A,A,299,9107,,4G,Bonus 1000%,,0.14672044
C7797_680,350,246,A,A,298,9077,,4G,Bonus 1000%,,0.14672044
C0270_634,330,239,A,A,311,9496,,4G,Bonus 900%,,0.14672044
C7398_657,340,239,A,A,296,9018,,4G,Bonus 900%,,0.14672044
C2957_617,330,265,A,A,298,9094,,4G,Bonus 1500%,,0.14672044
C1121_677,350,265,A,A,299,9101,,4G,Bonus 1500%,,0.14672044
C5409_662,340,265,A,A,298,9092,,2G,Bonus 1500%,,0.14672044
C8368_616,340,265,A,A,299,9130,,2G,Bonus 1500%,,0.14672044
C3058_617,350,265,A,A,299,9116,,,Bonus 1500%,,0.14672044
C3562_622,340,239,A,A,298,9072,,4G,Bonus 900%,,0.14672044
C3746_617,360,244,A,A,298,9099,,4G,Bonus 1000%,,0.14672044
C4566_592,350,239,A,A,300,9137,,4G,Bonus 900%,,0.14672044
C9627_641,360,246,A,A,296,9037,,3G,Bonus 1000%,,0.14672044
C1251_654,340,239,A,A,296,9024,,4G,Bonus 900%,,0.14672044
C7684_681,350,265,S,A,298,9098,,4G,Bonus 1500%,,0.14672044
C6925_650,340,265,A,A,296,9025,,4G,Bonus 1500%,,0.14672044
C3303_668,340,265,A,A,298,9077,,4G,Bonus 1500%,,0.14672044
C0303_650,330,246,A,A,297,9065,,,Bonus 1000%,,0.14672044
C2738_645,350,265,A,A,296,9034,,4G,Bonus 1500%,,0.14672044
C5266_673,330,239,A,A,298,9073,,4G,Bonus 900%,,0.14672044
C0598_685,340,265,A,A,298,9093,,2G,Bonus 1500%,,0.14672044
C7658_666,230,34,A,A,276,8409,,5G,Bonus,,0.14655511
C9243_619,300,34,A,A,267,8129,,2G,Bonus,,0.14655511
C0526_555,280,34,A,A,266,8118,,4G,Bonus,,0.14655511
C2427_545,310,34,A,A,275,8385,,5G,Bonus,,0.14655511
C7687_666,230,34,A,A,268,8163,,4G,Bonus,,0.14655511
C9022_652,230,34,A,A,284,8665,,4G,Bonus,,0.14655511
C4693_590,310,34,A,A,263,8010,,4G,Bonus,,0.14655511
C8756_456,300,34,A,A,262,8000,,4G,Bonus,,0.14655511
C7654_646,230,34,A,A,266,8103,,4G,Bonus,,0.14655511
C1576_592,280,34,A,A,268,8185,,4G,Bonus,,0.14655511
C5715_652,310,34,A,A,267,8150,,2G,Bonus,,0.14655511
C9357_600,280,34,A,A,267,8149,,4G,Bonus,,0.14655511
C4113_551,260,34,A,A,265,8093,,4G,Bonus,,0.14655511
C1361_629,300,34,A,A,267,8141,,4G,Bonus,,0.14655511
C6289_709,220,34,A,A,276,8415,,4G,Bonus,,0.14655511
C1443_635,300,34,A,A,266,8105,,4G,Bonus,,0.14655511
C0857_673,160,34,A,A,294,8953,,4G,Bonus,,0.14649042
C2112_687,170,34,A,A,295,8980,,5G,Bonus,,0.14649042
C9320_645,200,34,A,A,293,8929,,4G,Bonus,,0.14649042
C6963_697,210,34,A,A,295,8987,,4G,Bonus,,0.14649042
C9895_628,320,265,A,A,299,9130,,4G,Bonus 1500%,,0.14560735
C1760_716,320,239,A,A,299,9130,,2G,Bonus 900%,,0.14560735
C5003_673,320,265,A,A,298,9074,,2G,Bonus 1500%,,0.14560735
C7077_604,320,239,A,A,300,9139,,4G,Bonus 900%,,0.14560735
C4394_701,320,239,A,A,299,9130,,4G,Bonus 900%,,0.14560735
C9483_660,320,265,A,A,297,9054,,4G,Bonus 1500%,,0.14560735
C5523_703,320,239,A,A,299,9130,,4G,Bonus 900%,,0.14560735
C9448_638,320,265,A,A,297,9043,,2G,Bonus 1500%,,0.14560735
C8757_647,140,34,A,A,269,8204,,4G,Bonus,,0.14553358
C5247_612,140,34,A,A,268,8168,,2G,Bonus,,0.14553358
C3136_629,150,34,A,A,267,8150,,4G,Bonus,,0.14553358
C0248_571,140,34,A,A,272,8297,,5G,Bonus,,0.14553358
C0210_648,150,34,A,A,283,8617,,4G,Bonus,,0.14553358
C3102_580,140,34,A,A,266,8106,,2G,Bonus,,0.14553358
C1453_587,140,34,A,A,267,8142,,2G,Bonus,,0.14553358
