ID,ANC_M,HANDSET,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,RFM_SCORE,SEGMENT_RFM,CHURN,SCORE_CHURN,RISQUE_CHURN,ACTION_RETENTION
C53604518,70,4G,Standard,3.0,7.0,50.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C31696230,22,4G,Standard,3.0,7.0,70.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C12906232,22,4G,Standard,9.0,1.0,7.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C15072691,119,4G,Bonus 1000%,3.0,3.0,13.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C93676234,22,4G,Bonus,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C25946236,22,4G,Standard,6.0,2.0,2.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C72125908,30,4G,Bonus,3.0,6.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C81325805,33,4G,Bonus,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C94645939,30,4G,Bonus,3.0,8.0,390.0,8,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C68316031,27,5G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C03876248,22,4G,Standard,3.0,5.0,21.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C98366249,22,4G,Bonus,3.0,5.0,25.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C43094384,69,4G,Bonus 1000%,3.0,6.0,35.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C28636250,22,4G,Bonus,3.0,8.0,126.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C34156250,22,4G,Bonus,4.0,6.0,76.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C29796251,22,4G,Standard,3.0,3.0,3.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
