ID,ANC_M,HANDSET,STATUT,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,NB_RECH_TOT,MNT_MOY,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,RFM_SCORE_STR,SEGMENT_RFM,TARGET_DATA
C89641000,173,2G,A,Bonus 1000%,0.0,12.0,375.0,95.0,31.25,5,3,4,12,534,Clients Fidèles,0
C73911001,171,4G,A,Bonus 1500%,0.0,12.0,145.0,145.0,12.083333333333334,5,3,3,11,533,Clients Fidèles,1
C96191001,173,5G,A,Bonus,0.0,9.0,185.0,35.0,20.555555555555557,5,2,3,10,523,Nouveaux Clients,1
C07561003,178,5G,A,Bonus 1500%,0.0,12.0,157.0,33.0,13.083333333333334,5,3,3,11,533,Clients Fidèles,1
C16441003,178,4G,A,Bonus,0.0,5.0,25.0,5.0,5.0,5,1,1,7,511,Nouveaux Clients,1
C42321003,178,4G,A,Standard,0.0,5.0,19.0,7.0,3.8,5,1,1,7,511,Nouveaux Clients,1
C58841003,178,4G,A,Bonus 900%,1.0,8.0,69.0,25.0,8.625,1,2,2,5,122,Clients Perdus,1
C82521003,177,5G,A,Standard,0.0,11.0,260.0,36.0,23.636363636363637,5,2,4,11,524,Nouveaux Clients,1
C19871004,177,5G,A,Bonus 1500%,0.0,12.0,276.88,121.0,23.073333333333334,5,3,4,12,534,Clients Fidèles,1
C25461004,177,2G,A,Bonus 900%,0.0,12.0,633.0,149.0,52.75,5,3,5,13,535,Clients Fidèles,0
C45191004,177,4G,A,Bonus 1500%,0.0,12.0,241.0,73.0,20.083333333333332,5,3,4,12,534,Clients Fidèles,1
C89041004,177,4G,A,Bonus 1500%,0.0,11.0,72.0,24.0,6.545454545454546,5,2,2,9,522,Nouveaux Clients,1
C98801004,177,5G,A,Standard,0.0,10.0,343.7,71.0,34.37,5,2,4,11,524,Nouveaux Clients,1
C99251004,177,4G,A,Bonus,0.0,12.0,820.0,156.0,68.33333333333333,5,3,5,13,535,Clients Fidèles,1
C31481007,175,2G,A,Standard,0.0,12.0,101.0,73.0,8.416666666666666,5,3,2,10,532,Clients Ordinaires,0
C63751007,144,4G,A,Bonus 1500%,0.0,12.0,542.0,130.0,45.166666666666664,5,3,5,13,535,Clients Fidèles,1
C67301007,143,4G,A,Bonus 2000%,0.0,12.0,1032.7,192.0,86.05833333333334,5,3,5,13,535,Clients Fidèles,0
C95001007,144,4G,A,Bonus 1500%,0.0,12.0,177.0,105.0,14.75,5,3,3,11,533,Clients Fidèles,1
C04151008,169,4G,A,Bonus 1500%,0.0,12.0,93.0,33.0,7.75,5,3,2,10,532,Clients Ordinaires,1
C18981008,169,4G,A,Bonus,0.0,10.0,307.0,203.0,30.7,5,2,4,11,524,Nouveaux Clients,1
C51241008,170,2G,A,Bonus 1500%,0.0,12.0,243.0,87.0,20.25,5,3,4,12,534,Clients Fidèles,1
C58951008,171,2G,A,Bonus 1000%,0.0,12.0,306.0,82.0,25.5,5,3,4,12,534,Clients Fidèles,1
C95351008,171,4G,A,Bonus 300%,0.0,12.0,247.0,99.0,20.583333333333332,5,3,4,12,534,Clients Fidèles,1
C22021009,172,4G,A,Bonus 900%,0.0,12.0,379.0,91.0,31.583333333333332,5,3,4,12,534,Clients Fidèles,1
C34471009,170,4G,A,Standard,0.0,12.0,84.0,24.0,7.0,5,3,2,10,532,Clients Ordinaires,1
C35561009,171,2G,A,Bonus 1000%,0.0,12.0,255.0,51.0,21.25,5,3,4,12,534,Clients Fidèles,0
C62981009,170,3G,A,Standard,2.0,2.0,10.0,2.0,5.0,1,1,1,3,111,Clients Perdus,0
C93121009,171,4G,A,Bonus,0.0,12.0,157.0,41.0,13.083333333333334,5,3,3,11,533,Clients Fidèles,1
C20781010,170,2G,A,Bonus 900%,0.0,12.0,420.0,104.0,35.0,5,3,5,13,535,Clients Fidèles,1
C26931010,170,2G,A,Bonus,2.0,9.0,21.0,17.0,2.3333333333333335,1,2,1,4,121,Clients Perdus,0
C36391010,170,4G,A,Bonus 900%,0.0,12.0,904.0,61.0,75.33333333333333,5,3,5,13,535,Clients Fidèles,1
C30461012,172,4G,A,Bonus 1500%,0.0,12.0,171.0,71.0,14.25,5,3,3,11,533,Clients Fidèles,1
C42501012,171,2G,A,Bonus 1000%,0.0,12.0,392.0,212.0,32.666666666666664,5,3,5,13,535,Clients Fidèles,1
C08511015,171,4G,A,Bonus 1500%,0.0,4.0,122.0,6.0,30.5,5,1,2,8,512,Nouveaux Clients,1
C38031017,170,4G,A,Bonus 1000%,0.0,12.0,217.0,43.0,18.083333333333332,5,3,3,11,533,Clients Fidèles,1
C63611017,173,4G,A,Standard,0.0,12.0,384.0,80.0,32.0,5,3,5,13,535,Clients Fidèles,0
C8228_101,203,2G,A,Standard,0.0,12.0,161.0,112.0,13.416666666666666,5,3,3,11,533,Clients Fidèles,0
C65681018,172,4G,A,Bonus 300%,0.0,12.0,400.0,320.0,33.333333333333336,5,3,5,13,535,Clients Fidèles,1
C58421020,171,4G,A,Bonus,0.0,10.0,26.0,22.0,2.6,5,2,1,8,521,Nouveaux Clients,1
C27421021,171,4G,A,Bonus 300%,0.0,12.0,200.0,72.0,16.666666666666668,5,3,3,11,533,Clients Fidèles,1
C03071023,170,2G,A,Standard,0.0,12.0,930.0,194.0,77.5,5,3,5,13,535,Clients Fidèles,1
C3672_102,202,4G,A,Bonus 1000%,0.0,9.0,85.84,41.0,9.537777777777778,5,2,2,9,522,Nouveaux Clients,1
C87541023,170,4G,A,Bonus 300%,0.0,12.0,66.0,30.0,5.5,5,3,2,10,532,Clients Ordinaires,1
C01501024,169,4G,A,Standard,0.0,10.0,74.0,26.0,7.4,5,2,2,9,522,Nouveaux Clients,1
C71311025,169,2G,A,Standard,0.0,12.0,594.0,122.0,49.5,5,3,5,13,535,Clients Fidèles,1
C36021026,169,4G,A,Bonus 300%,0.0,12.0,259.0,255.0,21.583333333333332,5,3,4,12,534,Clients Fidèles,1
C42321026,168,4G,A,Bonus 300%,0.0,12.0,542.7,126.0,45.225,5,3,5,13,535,Clients Fidèles,1
C54501026,169,4G,A,Standard,0.0,12.0,193.0,145.0,16.083333333333332,5,3,3,11,533,Clients Fidèles,1
C6580_102,197,4G,A,Bonus 1500%,0.0,12.0,294.0,70.0,24.5,5,3,4,12,534,Clients Fidèles,1
C81871027,174,nan,A,Bonus 900%,0.0,6.0,120.0,8.0,20.0,5,1,2,8,512,Nouveaux Clients,1
C8684_102,198,4G,A,Bonus 900%,0.0,12.0,547.0,235.0,45.583333333333336,5,3,5,13,535,Clients Fidèles,1
C8795_102,202,2G,A,Bonus 1500%,0.0,12.0,174.4,37.0,14.533333333333333,5,3,3,11,533,Clients Fidèles,0
C81731028,173,4G,A,Standard,0.0,10.0,128.0,25.0,12.8,5,2,2,9,522,Nouveaux Clients,1
C50541029,168,4G,A,Bonus 1500%,0.0,12.0,145.0,121.0,12.083333333333334,5,3,3,11,533,Clients Fidèles,1
C55891029,155,4G,A,Bonus 1500%,0.0,12.0,386.0,76.0,32.166666666666664,5,3,5,13,535,Clients Fidèles,1
C58031030,167,4G,A,Bonus 900%,0.0,12.0,172.0,35.0,14.333333333333334,5,3,3,11,533,Clients Fidèles,1
C27611031,170,4G,A,Bonus,0.0,12.0,136.0,88.0,11.333333333333334,5,3,3,11,533,Clients Fidèles,1
C81161031,173,4G,A,Bonus 1500%,0.0,12.0,343.0,71.0,28.583333333333332,5,3,4,12,534,Clients Fidèles,1
C15501032,168,5G,A,Standard,0.0,9.0,177.0,37.0,19.666666666666668,5,2,3,10,523,Nouveaux Clients,1
C32001032,169,4G,A,Bonus 900%,0.0,12.0,176.0,40.0,14.666666666666666,5,3,3,11,533,Clients Fidèles,1
C57351032,170,4G,A,Bonus 900%,0.0,12.0,186.0,38.0,15.5,5,3,3,11,533,Clients Fidèles,1
C65031033,170,2G,A,Bonus 1500%,0.0,12.0,181.0,97.0,15.083333333333334,5,3,3,11,533,Clients Fidèles,0
C16881034,169,2G,A,Bonus 1500%,0.0,12.0,119.0,119.0,9.916666666666666,5,3,2,10,532,Clients Ordinaires,0
C20931035,169,2G,A,Bonus 900%,0.0,12.0,611.0,139.0,50.916666666666664,5,3,5,13,535,Clients Fidèles,0
C65931035,168,4G,A,Standard,0.0,9.0,38.0,10.0,4.222222222222222,5,2,1,8,521,Nouveaux Clients,1
C33521036,169,2G,A,Bonus 1000%,0.0,12.0,182.0,182.0,15.166666666666666,5,3,3,11,533,Clients Fidèles,0
C75581036,168,2G,A,Bonus 1500%,0.0,12.0,240.0,228.0,20.0,5,3,4,12,534,Clients Fidèles,0
C28291037,157,4G,A,Standard,0.0,9.0,27.0,11.0,3.0,5,2,1,8,521,Nouveaux Clients,1
C96381037,168,4G,A,Bonus,0.0,5.0,80.0,5.0,16.0,5,1,2,8,512,Nouveaux Clients,1
C2626_105,201,4G,A,Bonus 1500%,0.0,12.0,208.0,208.0,17.333333333333332,5,3,3,11,533,Clients Fidèles,1
C0620_106,198,nan,A,Bonus 1500%,0.0,12.0,326.4,89.0,27.2,5,3,4,12,534,Clients Fidèles,1
C3077_106,195,4G,A,Bonus 900%,0.0,12.0,95.0,35.0,7.916666666666667,5,3,2,10,532,Clients Ordinaires,0
C7825_106,196,4G,A,Standard,0.0,7.0,39.0,13.0,5.571428571428571,5,1,1,7,511,Nouveaux Clients,0
C1516_107,194,3G,A,Standard,0.0,12.0,205.0,41.0,17.083333333333332,5,3,3,11,533,Clients Fidèles,1
C9847_107,203,4G,A,Bonus 1500%,0.0,8.0,95.0,27.0,11.875,5,2,2,9,522,Nouveaux Clients,1
C8862_109,195,4G,A,Standard,1.0,10.0,81.0,37.0,8.1,1,2,2,5,122,Clients Perdus,1
C3094_110,203,2G,A,Standard,0.0,12.0,130.0,26.0,10.833333333333334,5,3,3,11,533,Clients Fidèles,1
C5570_110,193,2G,A,Bonus 1500%,0.0,12.0,168.0,40.0,14.0,5,3,3,11,533,Clients Fidèles,0
C7394_111,195,4G,A,Standard,0.0,12.0,937.0,187.0,78.08333333333333,5,3,5,13,535,Clients Fidèles,1
C9018_111,200,4G,A,Standard,0.0,10.0,58.0,26.0,5.8,5,2,2,9,522,Nouveaux Clients,1
C9243_111,204,2G,A,Bonus 1500%,0.0,12.0,316.0,76.0,26.333333333333332,5,3,4,12,534,Clients Fidèles,1
C5375_112,198,4G,A,Standard,0.0,11.0,123.0,123.0,11.181818181818182,5,2,2,9,522,Nouveaux Clients,1
C2078_113,193,4G,A,Bonus 900%,0.0,12.0,512.0,147.0,42.666666666666664,5,3,5,13,535,Clients Fidèles,1
C6498_113,197,4G,A,Bonus 1500%,0.0,12.0,325.0,156.0,27.083333333333332,5,3,4,12,534,Clients Fidèles,1
C8185_114,192,4G,A,Bonus 1000%,0.0,12.0,175.0,158.0,14.583333333333334,5,3,3,11,533,Clients Fidèles,1
C1402_115,192,4G,A,Bonus,0.0,9.0,52.0,28.0,5.777777777777778,5,2,1,8,521,Nouveaux Clients,1
C1725_116,194,2G,A,Bonus 900%,0.0,12.0,361.0,109.0,30.083333333333332,5,3,4,12,534,Clients Fidèles,1
C4389_116,195,4G,A,Bonus 900%,0.0,12.0,112.0,88.0,9.333333333333334,5,3,2,10,532,Clients Ordinaires,1
C1187_118,196,4G,A,Bonus 1500%,0.0,8.0,60.0,11.0,7.5,5,2,2,9,522,Nouveaux Clients,1
C4030_120,191,4G,A,Bonus 1500%,0.0,12.0,390.0,136.0,32.5,5,3,5,13,535,Clients Fidèles,1
C1616_121,192,3G,A,Bonus,0.0,12.0,115.0,99.0,9.583333333333334,5,3,2,10,532,Clients Ordinaires,1
C4642_122,202,4G,A,Bonus 1500%,0.0,12.0,65.0,45.0,5.416666666666667,5,3,2,10,532,Clients Ordinaires,1
C7529_122,191,4G,A,Bonus,0.0,8.0,43.0,35.0,5.375,5,2,1,8,521,Nouveaux Clients,1
C35051229,173,4G,A,Bonus 1000%,0.0,12.0,461.0,92.0,38.416666666666664,5,3,5,13,535,Clients Fidèles,1
C92421229,172,4G,A,Bonus,0.0,12.0,229.0,77.0,19.083333333333332,5,3,4,12,534,Clients Fidèles,1
