ID,ANC_M,HANDSET,STATUT,CLASSE_CANAL,TARGET,FLAG_CHURN,SCORE_FORFAIT,PRED_FORFAIT,SEGMENT_FORFAIT,SCORE_CHURN,PRED_CHURN,RISQUE_CHURN,ACTION_RECOMMANDEE
C43764197,75,4G,A,Reseau indirect,1,0,0.8124267,1,Cible Prioritaire,0.01619582,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C99894134,78,,A,Reseau indirect,1,0,0.81162995,1,Cible Prioritaire,0.10696799,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C88144564,67,5G,A,Reseau indirect,1,0,0.80477977,1,Cible Prioritaire,0.0131113585,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C26354743,61,5G,A,Reseau indirect,1,0,0.8039617,1,Cible Prioritaire,0.013335245,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C99906267,21,4G,A,Reseau indirect,1,1,0.80312294,1,Cible Prioritaire,0.99194723,1,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C01123911,85,5G,A,Reseau indirect,1,0,0.7981891,1,Cible Prioritaire,0.009985087,0,Risque Faible,ACTIVATION DATA — offre forfait illimité
C23874074,83,4G,A,Reseau indirect,1,0,0.7958531,1,Cible Prioritaire,0.011278275,0,Risque Faible,ACTIVATION DATA — offre forfait illimité
C24184075,83,4G,A,Reseau indirect,1,0,0.7958531,1,Cible Prioritaire,0.011278275,0,Risque Faible,ACTIVATION DATA — offre forfait illimité
C63883951,81,4G,A,Reseau indirect,0,0,0.7949577,1,Cible Prioritaire,0.012191227,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C06906551,10,4G,A,Reseau indirect,1,0,0.7946476,1,Cible Prioritaire,0.028323324,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C56876552,10,4G,A,Reseau indirect,1,0,0.7946476,1,Cible Prioritaire,0.028323324,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C24076555,10,4G,A,Reseau indirect,1,0,0.7946476,1,Cible Prioritaire,0.028323324,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C17666209,23,4G,A,Reseau indirect,1,0,0.7944952,1,Cible Prioritaire,0.05238179,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C76836217,23,5G,A,Reseau indirect,1,0,0.7935927,1,Cible Prioritaire,0.050123394,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C93836711,3,4G,A,Reseau indirect,0,0,0.79332894,1,Cible Prioritaire,0.016907977,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C93324381,76,4G,A,Reseau indirect,0,0,0.7931287,1,Cible Prioritaire,0.012844761,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
C90384287,76,4G,A,Reseau indirect,1,0,0.7931287,1,Cible Prioritaire,0.012844761,0,Risque Moyen,ACTIVATION DATA — offre forfait illimité
